"시도별","연령계층별","시점","항목",데이터
"계","계","2024","경제활동참가율 (%)",64.5
"계","계","2024","고용률 (%)",62.7
"계","15 - 29세","2014","15세이상인구 (천명)",9395
"계","15 - 29세","2014","경제활동인구 (천명)",4179
"계","15 - 29세","2014","비경제활동인구 (천명)",5216
"계","15 - 29세","2014","경제활동참가율 (%)",44.5
"계","15 - 29세","2014","고용률 (%)",40.5
"계","15 - 29세","2015","15세이상인구 (천명)",9380
"계","15 - 29세","2015","경제활동인구 (천명)",4253
"계","15 - 29세","2015","비경제활동인구 (천명)",5127
"계","15 - 29세","2015","경제활동참가율 (%)",45.3
"계","15 - 29세","2015","고용률 (%)",41.2
"계","15 - 29세","2016","15세이상인구 (천명)",9363
"계","15 - 29세","2016","경제활동인구 (천명)",4334
"계","15 - 29세","2016","비경제활동인구 (천명)",5029
"계","15 - 29세","2016","경제활동참가율 (%)",46.3
"계","15 - 29세","2016","고용률 (%)",41.7
"계","15 - 29세","2017","15세이상인구 (천명)",9282
"계","15 - 29세","2017","경제활동인구 (천명)",4333
"계","15 - 29세","2017","비경제활동인구 (천명)",4949
"계","15 - 29세","2017","경제활동참가율 (%)",46.7
"계","15 - 29세","2017","고용률 (%)",42.1
"계","15 - 29세","2018","15세이상인구 (천명)",9149
"계","15 - 29세","2018","경제활동인구 (천명)",4312
"계","15 - 29세","2018","비경제활동인구 (천명)",4837
"계","15 - 29세","2018","경제활동참가율 (%)",47.1
"계","15 - 29세","2018","고용률 (%)",42.7
"계","15 - 29세","2019","15세이상인구 (천명)",9060
"계","15 - 29세","2019","경제활동인구 (천명)",4331
"계","15 - 29세","2019","비경제활동인구 (천명)",4729
"계","15 - 29세","2019","경제활동참가율 (%)",47.8
"계","15 - 29세","2019","고용률 (%)",43.5
"계","15 - 29세","2020","15세이상인구 (천명)",8911
"계","15 - 29세","2020","경제활동인구 (천명)",4133
"계","15 - 29세","2020","비경제활동인구 (천명)",4778
"계","15 - 29세","2020","경제활동참가율 (%)",46.4
"계","15 - 29세","2020","고용률 (%)",42.2
"계","15 - 29세","2021","15세이상인구 (천명)",8770
"계","15 - 29세","2021","경제활동인구 (천명)",4203
"계","15 - 29세","2021","비경제활동인구 (천명)",4567
"계","15 - 29세","2021","경제활동참가율 (%)",47.9
"계","15 - 29세","2021","고용률 (%)",44.2
"계","15 - 29세","2022","15세이상인구 (천명)",8567
"계","15 - 29세","2022","경제활동인구 (천명)",4269
"계","15 - 29세","2022","비경제활동인구 (천명)",4299
"계","15 - 29세","2022","경제활동참가율 (%)",49.8
"계","15 - 29세","2022","고용률 (%)",46.6
"계","15 - 29세","2023","15세이상인구 (천명)",8390
"계","15 - 29세","2023","경제활동인구 (천명)",4142
"계","15 - 29세","2023","비경제활동인구 (천명)",4248
"계","15 - 29세","2023","경제활동참가율 (%)",49.4
"계","15 - 29세","2023","고용률 (%)",46.5
"계","15 - 29세","2024","15세이상인구 (천명)",8152
"계","15 - 29세","2024","경제활동인구 (천명)",3990
"계","15 - 29세","2024","비경제활동인구 (천명)",4162
"계","15 - 29세","2024","경제활동참가율 (%)",48.9
"계","15 - 29세","2024","고용률 (%)",46.1
"계","15 - 19세","2014","15세이상인구 (천명)",3196
"계","15 - 19세","2014","경제활동인구 (천명)",270
"계","15 - 19세","2014","비경제활동인구 (천명)",2926
"계","15 - 19세","2014","경제활동참가율 (%)",8.5
"계","15 - 19세","2014","고용률 (%)",7.7
"계","15 - 19세","2015","15세이상인구 (천명)",3124
"계","15 - 19세","2015","경제활동인구 (천명)",274
"계","15 - 19세","2015","비경제활동인구 (천명)",2850
"계","15 - 19세","2015","경제활동참가율 (%)",8.8
"계","15 - 19세","2015","고용률 (%)",7.8
"계","15 - 19세","2016","15세이상인구 (천명)",3066
"계","15 - 19세","2016","경제활동인구 (천명)",271
"계","15 - 19세","2016","비경제활동인구 (천명)",2795
"계","15 - 19세","2016","경제활동참가율 (%)",8.8
"계","15 - 19세","2016","고용률 (%)",8.0
"계","15 - 19세","2017","15세이상인구 (천명)",2922
"계","15 - 19세","2017","경제활동인구 (천명)",270
"계","15 - 19세","2017","비경제활동인구 (천명)",2652
"계","15 - 19세","2017","경제활동참가율 (%)",9.2
"계","15 - 19세","2017","고용률 (%)",8.4
"계","15 - 19세","2018","15세이상인구 (천명)",2759
"계","15 - 19세","2018","경제활동인구 (천명)",226
"계","15 - 19세","2018","비경제활동인구 (천명)",2533
"계","15 - 19세","2018","경제활동참가율 (%)",8.2
"계","15 - 19세","2018","고용률 (%)",7.4
"계","15 - 19세","2019","15세이상인구 (천명)",2617
"계","15 - 19세","2019","경제활동인구 (천명)",217
"계","15 - 19세","2019","비경제활동인구 (천명)",2401
"계","15 - 19세","2019","경제활동참가율 (%)",8.3
"계","15 - 19세","2019","고용률 (%)",7.6
"계","15 - 19세","2020","15세이상인구 (천명)",2452
"계","15 - 19세","2020","경제활동인구 (천명)",178
"계","15 - 19세","2020","비경제활동인구 (천명)",2275
"계","15 - 19세","2020","경제활동참가율 (%)",7.2
"계","15 - 19세","2020","고용률 (%)",6.6
"계","15 - 19세","2021","15세이상인구 (천명)",2312
"계","15 - 19세","2021","경제활동인구 (천명)",188
"계","15 - 19세","2021","비경제활동인구 (천명)",2124
"계","15 - 19세","2021","경제활동참가율 (%)",8.1
"계","15 - 19세","2021","고용률 (%)",7.4
"계","15 - 19세","2022","15세이상인구 (천명)",2245
"계","15 - 19세","2022","경제활동인구 (천명)",191
"계","15 - 19세","2022","비경제활동인구 (천명)",2054
"계","15 - 19세","2022","경제활동참가율 (%)",8.5
"계","15 - 19세","2022","고용률 (%)",8.0
"계","15 - 19세","2023","15세이상인구 (천명)",2258
"계","15 - 19세","2023","경제활동인구 (천명)",172
"계","15 - 19세","2023","비경제활동인구 (천명)",2086
"계","15 - 19세","2023","경제활동참가율 (%)",7.6
"계","15 - 19세","2023","고용률 (%)",7.2
"계","15 - 19세","2024","15세이상인구 (천명)",2232
"계","15 - 19세","2024","경제활동인구 (천명)",155
"계","15 - 19세","2024","비경제활동인구 (천명)",2077
"계","15 - 19세","2024","경제활동참가율 (%)",6.9
"계","15 - 19세","2024","고용률 (%)",6.4
"계","20 - 29세","2014","15세이상인구 (천명)",6199
"계","20 - 29세","2014","경제활동인구 (천명)",3909
"계","20 - 29세","2014","비경제활동인구 (천명)",2290
"계","20 - 29세","2014","경제활동참가율 (%)",63.1
"계","20 - 29세","2014","고용률 (%)",57.4
"계","20 - 29세","2015","15세이상인구 (천명)",6256
"계","20 - 29세","2015","경제활동인구 (천명)",3979
"계","20 - 29세","2015","비경제활동인구 (천명)",2277
"계","20 - 29세","2015","경제활동참가율 (%)",63.6
"계","20 - 29세","2015","고용률 (%)",57.9
"계","20 - 29세","2016","15세이상인구 (천명)",6296
"계","20 - 29세","2016","경제활동인구 (천명)",4063
"계","20 - 29세","2016","비경제활동인구 (천명)",2234
"계","20 - 29세","2016","경제활동참가율 (%)",64.5
"계","20 - 29세","2016","고용률 (%)",58.2
"계","20 - 29세","2017","15세이상인구 (천명)",6360
"계","20 - 29세","2017","경제활동인구 (천명)",4063
"계","20 - 29세","2017","비경제활동인구 (천명)",2297
"계","20 - 29세","2017","경제활동참가율 (%)",63.9
"계","20 - 29세","2017","고용률 (%)",57.6
"계","20 - 29세","2018","15세이상인구 (천명)",6390
"계","20 - 29세","2018","경제활동인구 (천명)",4086
"계","20 - 29세","2018","비경제활동인구 (천명)",2303
"계","20 - 29세","2018","경제활동참가율 (%)",64.0
"계","20 - 29세","2018","고용률 (%)",57.9
"계","20 - 29세","2019","15세이상인구 (천명)",6443
"계","20 - 29세","2019","경제활동인구 (천명)",4114
"계","20 - 29세","2019","비경제활동인구 (천명)",2328
"계","20 - 29세","2019","경제활동참가율 (%)",63.9
"계","20 - 29세","2019","고용률 (%)",58.2
"계","20 - 29세","2020","15세이상인구 (천명)",6459
"계","20 - 29세","2020","경제활동인구 (천명)",3955
"계","20 - 29세","2020","비경제활동인구 (천명)",2503
"계","20 - 29세","2020","경제활동참가율 (%)",61.2
"계","20 - 29세","2020","고용률 (%)",55.7
"계","20 - 29세","2021","15세이상인구 (천명)",6458
"계","20 - 29세","2021","경제활동인구 (천명)",4016
"계","20 - 29세","2021","비경제활동인구 (천명)",2443
"계","20 - 29세","2021","경제활동참가율 (%)",62.2
"계","20 - 29세","2021","고용률 (%)",57.4
"계","20 - 29세","2022","15세이상인구 (천명)",6323
"계","20 - 29세","2022","경제활동인구 (천명)",4078
"계","20 - 29세","2022","비경제활동인구 (천명)",2245
"계","20 - 29세","2022","경제활동참가율 (%)",64.5
"계","20 - 29세","2022","고용률 (%)",60.4
"계","20 - 29세","2023","15세이상인구 (천명)",6132
"계","20 - 29세","2023","경제활동인구 (천명)",3970
"계","20 - 29세","2023","비경제활동인구 (천명)",2163
"계","20 - 29세","2023","경제활동참가율 (%)",64.7
"계","20 - 29세","2023","고용률 (%)",60.9
"계","20 - 29세","2024","15세이상인구 (천명)",5920
"계","20 - 29세","2024","경제활동인구 (천명)",3835
"계","20 - 29세","2024","비경제활동인구 (천명)",2085
"계","20 - 29세","2024","경제활동참가율 (%)",64.8
"계","20 - 29세","2024","고용률 (%)",61.0
"계","30 - 39세","2014","15세이상인구 (천명)",7838
"계","30 - 39세","2014","경제활동인구 (천명)",5991
"계","30 - 39세","2014","비경제활동인구 (천명)",1847
"계","30 - 39세","2014","경제활동참가율 (%)",76.4
"계","30 - 39세","2014","고용률 (%)",74.1
"계","30 - 39세","2015","15세이상인구 (천명)",7705
"계","30 - 39세","2015","경제활동인구 (천명)",5911
"계","30 - 39세","2015","비경제활동인구 (천명)",1794
"계","30 - 39세","2015","경제활동참가율 (%)",76.7
"계","30 - 39세","2015","고용률 (%)",74.4
"계","30 - 39세","2016","15세이상인구 (천명)",7597
"계","30 - 39세","2016","경제활동인구 (천명)",5856
"계","30 - 39세","2016","비경제활동인구 (천명)",1741
"계","30 - 39세","2016","경제활동참가율 (%)",77.1
"계","30 - 39세","2016","고용률 (%)",74.7
"계","30 - 39세","2017","15세이상인구 (천명)",7494
"계","30 - 39세","2017","경제활동인구 (천명)",5833
"계","30 - 39세","2017","비경제활동인구 (천명)",1661
"계","30 - 39세","2017","경제활동참가율 (%)",77.8
"계","30 - 39세","2017","고용률 (%)",75.3
"계","30 - 39세","2018","15세이상인구 (천명)",7378
"계","30 - 39세","2018","경제활동인구 (천명)",5777
"계","30 - 39세","2018","비경제활동인구 (천명)",1600
"계","30 - 39세","2018","경제활동참가율 (%)",78.3
"계","30 - 39세","2018","고용률 (%)",75.7
"계","30 - 39세","2019","15세이상인구 (천명)",7273
"계","30 - 39세","2019","경제활동인구 (천명)",5719
"계","30 - 39세","2019","비경제활동인구 (천명)",1554
"계","30 - 39세","2019","경제활동참가율 (%)",78.6
"계","30 - 39세","2019","고용률 (%)",76.0
"계","30 - 39세","2020","15세이상인구 (천명)",7128
"계","30 - 39세","2020","경제활동인구 (천명)",5558
"계","30 - 39세","2020","비경제활동인구 (천명)",1569
"계","30 - 39세","2020","경제활동참가율 (%)",78.0
"계","30 - 39세","2020","고용률 (%)",75.3
"계","30 - 39세","2021","15세이상인구 (천명)",6984
"계","30 - 39세","2021","경제활동인구 (천명)",5434
"계","30 - 39세","2021","비경제활동인구 (천명)",1551
"계","30 - 39세","2021","경제활동참가율 (%)",77.8
"계","30 - 39세","2021","고용률 (%)",75.3
"계","30 - 39세","2022","15세이상인구 (천명)",6860
"계","30 - 39세","2022","경제활동인구 (천명)",5452
"계","30 - 39세","2022","비경제활동인구 (천명)",1408
"계","30 - 39세","2022","경제활동참가율 (%)",79.5
"계","30 - 39세","2022","고용률 (%)",77.3
"계","30 - 39세","2023","15세이상인구 (천명)",6787
"계","30 - 39세","2023","경제활동인구 (천명)",5500
"계","30 - 39세","2023","비경제활동인구 (천명)",1287
"계","30 - 39세","2023","경제활동참가율 (%)",81.0
"계","30 - 39세","2023","고용률 (%)",78.9
"계","30 - 39세","2024","15세이상인구 (천명)",6803
"계","30 - 39세","2024","경제활동인구 (천명)",5597
"계","30 - 39세","2024","비경제활동인구 (천명)",1206
"계","30 - 39세","2024","경제활동참가율 (%)",82.3
"계","30 - 39세","2024","고용률 (%)",80.1
"계","40 - 49세","2014","15세이상인구 (천명)",8721
"계","40 - 49세","2014","경제활동인구 (천명)",7054
"계","40 - 49세","2014","비경제활동인구 (천명)",1667
"계","40 - 49세","2014","경제활동참가율 (%)",80.9
"계","40 - 49세","2014","고용률 (%)",79.1
"계","40 - 49세","2015","15세이상인구 (천명)",8709
"계","40 - 49세","2015","경제활동인구 (천명)",7054
"계","40 - 49세","2015","비경제활동인구 (천명)",1655
"계","40 - 49세","2015","경제활동참가율 (%)",81.0
"계","40 - 49세","2015","고용률 (%)",79.1
"계","40 - 49세","2016","15세이상인구 (천명)",8621
"계","40 - 49세","2016","경제활동인구 (천명)",6981
"계","40 - 49세","2016","비경제활동인구 (천명)",1640
"계","40 - 49세","2016","경제활동참가율 (%)",81.0
"계","40 - 49세","2016","고용률 (%)",79.3
"계","40 - 49세","2017","15세이상인구 (천명)",8541
"계","40 - 49세","2017","경제활동인구 (천명)",6931
"계","40 - 49세","2017","비경제활동인구 (천명)",1611
"계","40 - 49세","2017","경제활동참가율 (%)",81.1
"계","40 - 49세","2017","고용률 (%)",79.4
"계","40 - 49세","2018","15세이상인구 (천명)",8438
"계","40 - 49세","2018","경제활동인구 (천명)",6834
"계","40 - 49세","2018","비경제활동인구 (천명)",1604
"계","40 - 49세","2018","경제활동참가율 (%)",81.0
"계","40 - 49세","2018","고용률 (%)",79.0
"계","40 - 49세","2019","15세이상인구 (천명)",8301
"계","40 - 49세","2019","경제활동인구 (천명)",6656
"계","40 - 49세","2019","비경제활동인구 (천명)",1644
"계","40 - 49세","2019","경제활동참가율 (%)",80.2
"계","40 - 49세","2019","고용률 (%)",78.4
"계","40 - 49세","2020","15세이상인구 (천명)",8234
"계","40 - 49세","2020","경제활동인구 (천명)",6510
"계","40 - 49세","2020","비경제활동인구 (천명)",1724
"계","40 - 49세","2020","경제활동참가율 (%)",79.1
"계","40 - 49세","2020","고용률 (%)",77.1
"계","40 - 49세","2021","15세이상인구 (천명)",8164
"계","40 - 49세","2021","경제활동인구 (천명)",6463
"계","40 - 49세","2021","비경제활동인구 (천명)",1701
"계","40 - 49세","2021","경제활동참가율 (%)",79.2
"계","40 - 49세","2021","고용률 (%)",77.3
"계","40 - 49세","2022","15세이상인구 (천명)",8084
"계","40 - 49세","2022","경제활동인구 (천명)",6442
"계","40 - 49세","2022","비경제활동인구 (천명)",1642
"계","40 - 49세","2022","경제활동참가율 (%)",79.7
"계","40 - 49세","2022","고용률 (%)",78.1
"계","40 - 49세","2023","15세이상인구 (천명)",7963
"계","40 - 49세","2023","경제활동인구 (천명)",6381
"계","40 - 49세","2023","비경제활동인구 (천명)",1582
"계","40 - 49세","2023","경제활동참가율 (%)",80.1
"계","40 - 49세","2023","고용률 (%)",78.6
"계","40 - 49세","2024","15세이상인구 (천명)",7814
"계","40 - 49세","2024","경제활동인구 (천명)",6300
"계","40 - 49세","2024","비경제활동인구 (천명)",1514
"계","40 - 49세","2024","경제활동참가율 (%)",80.6
"계","40 - 49세","2024","고용률 (%)",79.1
"계","50 - 59세","2014","15세이상인구 (천명)",8010
"계","50 - 59세","2014","경제활동인구 (천명)",6083
"계","50 - 59세","2014","비경제활동인구 (천명)",1927
"계","50 - 59세","2014","경제활동참가율 (%)",75.9
"계","50 - 59세","2014","고용률 (%)",74.2
"계","50 - 59세","2015","15세이상인구 (천명)",8158
"계","50 - 59세","2015","경제활동인구 (천명)",6215
"계","50 - 59세","2015","비경제활동인구 (천명)",1943
"계","50 - 59세","2015","경제활동참가율 (%)",76.2
"계","50 - 59세","2015","고용률 (%)",74.4
"계","50 - 59세","2016","15세이상인구 (천명)",8275
"계","50 - 59세","2016","경제활동인구 (천명)",6295
"계","50 - 59세","2016","비경제활동인구 (천명)",1980
"계","50 - 59세","2016","경제활동참가율 (%)",76.1
"계","50 - 59세","2016","고용률 (%)",74.3
"계","50 - 59세","2017","15세이상인구 (천명)",8368
"계","50 - 59세","2017","경제활동인구 (천명)",6442
"계","50 - 59세","2017","비경제활동인구 (천명)",1927
"계","50 - 59세","2017","경제활동참가율 (%)",77.0
"계","50 - 59세","2017","고용률 (%)",75.3
"계","50 - 59세","2018","15세이상인구 (천명)",8442
"계","50 - 59세","2018","경제활동인구 (천명)",6510
"계","50 - 59세","2018","비경제활동인구 (천명)",1933
"계","50 - 59세","2018","경제활동참가율 (%)",77.1
"계","50 - 59세","2018","고용률 (%)",75.2
"계","50 - 59세","2019","15세이상인구 (천명)",8541
"계","50 - 59세","2019","경제활동인구 (천명)",6612
"계","50 - 59세","2019","비경제활동인구 (천명)",1929
"계","50 - 59세","2019","경제활동참가율 (%)",77.4
"계","50 - 59세","2019","고용률 (%)",75.4
"계","50 - 59세","2020","15세이상인구 (천명)",8553
"계","50 - 59세","2020","경제활동인구 (천명)",6548
"계","50 - 59세","2020","비경제활동인구 (천명)",2005
"계","50 - 59세","2020","경제활동참가율 (%)",76.6
"계","50 - 59세","2020","고용률 (%)",74.3
"계","50 - 59세","2021","15세이상인구 (천명)",8550
"계","50 - 59세","2021","경제활동인구 (천명)",6592
"계","50 - 59세","2021","비경제활동인구 (천명)",1958
"계","50 - 59세","2021","경제활동참가율 (%)",77.1
"계","50 - 59세","2021","고용률 (%)",75.1
"계","50 - 59세","2022","15세이상인구 (천명)",8581
"계","50 - 59세","2022","경제활동인구 (천명)",6732
"계","50 - 59세","2022","비경제활동인구 (천명)",1850
"계","50 - 59세","2022","경제활동참가율 (%)",78.4
"계","50 - 59세","2022","고용률 (%)",77.1
"계","50 - 59세","2023","15세이상인구 (천명)",8593
"계","50 - 59세","2023","경제활동인구 (천명)",6793
"계","50 - 59세","2023","비경제활동인구 (천명)",1800
"계","50 - 59세","2023","경제활동참가율 (%)",79.1
"계","50 - 59세","2023","고용률 (%)",77.7
"계","50 - 59세","2024","15세이상인구 (천명)",8655
"계","50 - 59세","2024","경제활동인구 (천명)",6826
"계","50 - 59세","2024","비경제활동인구 (천명)",1829
"계","50 - 59세","2024","경제활동참가율 (%)",78.9
"계","50 - 59세","2024","고용률 (%)",77.5
"계","60세이상","2014","15세이상인구 (천명)",8831
"계","60세이상","2014","경제활동인구 (천명)",3528
"계","60세이상","2014","비경제활동인구 (천명)",5303
"계","60세이상","2014","경제활동참가율 (%)",40.0
"계","60세이상","2014","고용률 (%)",39.0
"계","60세이상","2015","15세이상인구 (천명)",9288
"계","60세이상","2015","경제활동인구 (천명)",3720
"계","60세이상","2015","비경제활동인구 (천명)",5568
"계","60세이상","2015","경제활동참가율 (%)",40.1
"계","60세이상","2015","고용률 (%)",39.0
"계","60세이상","2016","15세이상인구 (천명)",9750
"계","60세이상","2016","경제활동인구 (천명)",3953
"계","60세이상","2016","비경제활동인구 (천명)",5797
"계","60세이상","2016","경제활동참가율 (%)",40.5
"계","60세이상","2016","고용률 (%)",39.5
"계","60세이상","2017","15세이상인구 (천명)",10245
"계","60세이상","2017","경제활동인구 (천명)",4210
"계","60세이상","2017","비경제활동인구 (천명)",6035
"계","60세이상","2017","경제활동참가율 (%)",41.1
"계","60세이상","2017","고용률 (%)",39.9
"계","60세이상","2018","15세이상인구 (천명)",10776
"계","60세이상","2018","경제활동인구 (천명)",4463
"계","60세이상","2018","비경제활동인구 (천명)",6313
"계","60세이상","2018","경제활동참가율 (%)",41.4
"계","60세이상","2018","고용률 (%)",40.1
"계","60세이상","2019","15세이상인구 (천명)",11329
"계","60세이상","2019","경제활동인구 (천명)",4867
"계","60세이상","2019","비경제활동인구 (천명)",6462
"계","60세이상","2019","경제활동참가율 (%)",43.0
"계","60세이상","2019","고용률 (%)",41.5
"계","60세이상","2020","15세이상인구 (천명)",11960
"계","60세이상","2020","경제활동인구 (천명)",5264
"계","60세이상","2020","비경제활동인구 (천명)",6696
"계","60세이상","2020","경제활동참가율 (%)",44.0
"계","60세이상","2020","고용률 (%)",42.4
"계","60세이상","2021","15세이상인구 (천명)",12613
"계","60세이상","2021","경제활동인구 (천명)",5618
"계","60세이상","2021","비경제활동인구 (천명)",6994
"계","60세이상","2021","경제활동참가율 (%)",44.5
"계","60세이상","2021","고용률 (%)",42.9
"계","60세이상","2022","15세이상인구 (천명)",13167
"계","60세이상","2022","경제활동인구 (천명)",6027
"계","60세이상","2022","비경제활동인구 (천명)",7140
"계","60세이상","2022","경제활동참가율 (%)",45.8
"계","60세이상","2022","고용률 (%)",44.5
"계","60세이상","2023","15세이상인구 (천명)",13674
"계","60세이상","2023","경제활동인구 (천명)",6387
"계","60세이상","2023","비경제활동인구 (천명)",7287
"계","60세이상","2023","경제활동참가율 (%)",46.7
"계","60세이상","2023","고용률 (%)",45.5
"계","60세이상","2024","15세이상인구 (천명)",14147
"계","60세이상","2024","경제활동인구 (천명)",6687
"계","60세이상","2024","비경제활동인구 (천명)",7461
"계","60세이상","2024","경제활동참가율 (%)",47.3
"계","60세이상","2024","고용률 (%)",45.9
"계","15 - 64세","2014","15세이상인구 (천명)",36518
"계","15 - 64세","2014","경제활동인구 (천명)",24841
"계","15 - 64세","2014","비경제활동인구 (천명)",11677
"계","15 - 64세","2014","경제활동참가율 (%)",68.0
"계","15 - 64세","2014","고용률 (%)",65.6
"계","15 - 64세","2015","15세이상인구 (천명)",36705
"계","15 - 64세","2015","경제활동인구 (천명)",25120
"계","15 - 64세","2015","비경제활동인구 (천명)",11585
"계","15 - 64세","2015","경제활동참가율 (%)",68.4
"계","15 - 64세","2015","고용률 (%)",65.9
"계","15 - 64세","2016","15세이상인구 (천명)",36839
"계","15 - 64세","2016","경제활동인구 (천명)",25302
"계","15 - 64세","2016","비경제활동인구 (천명)",11536
"계","15 - 64세","2016","경제활동참가율 (%)",68.7
"계","15 - 64세","2016","고용률 (%)",66.1
"계","15 - 64세","2017","15세이상인구 (천명)",36860
"계","15 - 64세","2017","경제활동인구 (천명)",25520
"계","15 - 64세","2017","비경제활동인구 (천명)",11340
"계","15 - 64세","2017","경제활동참가율 (%)",69.2
"계","15 - 64세","2017","고용률 (%)",66.6
"계","15 - 64세","2018","15세이상인구 (천명)",36796
"계","15 - 64세","2018","경제활동인구 (천명)",25515
"계","15 - 64세","2018","비경제활동인구 (천명)",11282
"계","15 - 64세","2018","경제활동참가율 (%)",69.3
"계","15 - 64세","2018","고용률 (%)",66.6
"계","15 - 64세","2019","15세이상인구 (천명)",36791
"계","15 - 64세","2019","경제활동인구 (천명)",25564
"계","15 - 64세","2019","비경제활동인구 (천명)",11228
"계","15 - 64세","2019","경제활동참가율 (%)",69.5
"계","15 - 64세","2019","고용률 (%)",66.8
"계","15 - 64세","2020","15세이상인구 (천명)",36639
"계","15 - 64세","2020","경제활동인구 (천명)",25134
"계","15 - 64세","2020","비경제활동인구 (천명)",11505
"계","15 - 64세","2020","경제활동참가율 (%)",68.6
"계","15 - 64세","2020","고용률 (%)",65.9
"계","15 - 64세","2021","15세이상인구 (천명)",36498
"계","15 - 64세","2021","경제활동인구 (천명)",25198
"계","15 - 64세","2021","비경제활동인구 (천명)",11300
"계","15 - 64세","2021","경제활동참가율 (%)",69.0
"계","15 - 64세","2021","고용률 (%)",66.5
"계","15 - 64세","2022","15세이상인구 (천명)",36233
"계","15 - 64세","2022","경제활동인구 (천명)",25556
"계","15 - 64세","2022","비경제활동인구 (천명)",10677
"계","15 - 64세","2022","경제활동참가율 (%)",70.5
"계","15 - 64세","2022","고용률 (%)",68.5
"계","15 - 64세","2023","15세이상인구 (천명)",35956
"계","15 - 64세","2023","경제활동인구 (천명)",25580
"계","15 - 64세","2023","비경제활동인구 (천명)",10375
"계","15 - 64세","2023","경제활동참가율 (%)",71.1
"계","15 - 64세","2023","고용률 (%)",69.2
"계","15 - 64세","2024","15세이상인구 (천명)",35618
"계","15 - 64세","2024","경제활동인구 (천명)",25473
"계","15 - 64세","2024","비경제활동인구 (천명)",10145
"계","15 - 64세","2024","경제활동참가율 (%)",71.5
"계","15 - 64세","2024","고용률 (%)",69.5
"계","15 - 24세","2014","15세이상인구 (천명)",6180
"계","15 - 24세","2014","경제활동인구 (천명)",1758
"계","15 - 24세","2014","비경제활동인구 (천명)",4422
"계","15 - 24세","2014","경제활동참가율 (%)",28.5
"계","15 - 24세","2014","고용률 (%)",25.6
"계","15 - 24세","2015","15세이상인구 (천명)",6163
"계","15 - 24세","2015","경제활동인구 (천명)",1841
"계","15 - 24세","2015","비경제활동인구 (천명)",4322
"계","15 - 24세","2015","경제활동참가율 (%)",29.9
"계","15 - 24세","2015","고용률 (%)",26.7
"계","15 - 24세","2016","15세이상인구 (천명)",6110
"계","15 - 24세","2016","경제활동인구 (천명)",1843
"계","15 - 24세","2016","비경제활동인구 (천명)",4268
"계","15 - 24세","2016","경제활동참가율 (%)",30.2
"계","15 - 24세","2016","고용률 (%)",26.9
"계","15 - 24세","2017","15세이상인구 (천명)",5946
"계","15 - 24세","2017","경제활동인구 (천명)",1801
"계","15 - 24세","2017","비경제활동인구 (천명)",4145
"계","15 - 24세","2017","경제활동참가율 (%)",30.3
"계","15 - 24세","2017","고용률 (%)",27.2
"계","15 - 24세","2018","15세이상인구 (천명)",5717
