시도별,성별,연령별,시점,추계인구
전국,계,0 - 4세,2014 년,2295016
전국,계,0 - 4세,2015 년,2290097
전국,계,0 - 4세,2016 년,2240110
전국,계,0 - 4세,2017 년,2151219
전국,계,0 - 4세,2018 년,2038736
전국,계,0 - 4세,2019 년,1930344
전국,계,0 - 4세,2020 년,1776616
전국,계,0 - 4세,2021 년,1618830
전국,계,0 - 4세,2022 년,1494041
전국,계,0 - 4세,2023 년,1387730
전국,계,0 - 4세,2024 년,1296661
전국,계,5 - 9세,1970 년,4629882
전국,계,5 - 9세,1971 년,4524871
전국,계,5 - 9세,1972 년,4457446
전국,계,5 - 9세,1973 년,4413524
전국,계,5 - 9세,1974 년,4422587
전국,계,5 - 9세,1975 년,4478159
전국,계,5 - 9세,1976 년,4540577
전국,계,5 - 9세,1977 년,4611679
전국,계,5 - 9세,1978 년,4626835
전국,계,5 - 9세,1979 년,4584686
전국,계,5 - 9세,1980 년,4458426
전국,계,5 - 9세,1981 년,4316638
전국,계,5 - 9세,1982 년,4168352
전국,계,5 - 9세,1983 년,4056805
전국,계,5 - 9세,1984 년,3990530
전국,계,5 - 9세,1985 년,3967667
전국,계,5 - 9세,1986 년,4017250
전국,계,5 - 9세,1987 년,4083227
전국,계,5 - 9세,1988 년,4109267
전국,계,5 - 9세,1989 년,4021803
전국,계,5 - 9세,1990 년,3843481
전국,계,5 - 9세,1991 년,3644652
전국,계,5 - 9세,1992 년,3440905
전국,계,5 - 9세,1993 년,3281101
전국,계,5 - 9세,1994 년,3191664
전국,계,5 - 9세,1995 년,3166753
전국,계,5 - 9세,1996 년,3188482
전국,계,5 - 9세,1997 년,3269997
전국,계,5 - 9세,1998 년,3367330
전국,계,5 - 9세,1999 년,3459152
전국,계,5 - 9세,2000 년,3521464
전국,계,5 - 9세,2001 년,3533008
전국,계,5 - 9세,2002 년,3494260
전국,계,5 - 9세,2003 년,3416386
전국,계,5 - 9세,2004 년,3321422
전국,계,5 - 9세,2005 년,3233565
전국,계,5 - 9세,2006 년,3136070
전국,계,5 - 9세,2007 년,2976622
전국,계,5 - 9세,2008 년,2809151
전국,계,5 - 9세,2009 년,2671496
전국,계,5 - 9세,2010 년,2497927
전국,계,5 - 9세,2011 년,2336396
전국,계,5 - 9세,2012 년,2276951
전국,계,5 - 9세,2013 년,2279822
전국,계,5 - 9세,2014 년,2252502
전국,계,5 - 9세,2015 년,2251100
전국,계,5 - 9세,2016 년,2297146
전국,계,5 - 9세,2017 년,2308987
전국,계,5 - 9세,2018 년,2288927
전국,계,5 - 9세,2019 년,2276175
전국,계,5 - 9세,2020 년,2278285
전국,계,5 - 9세,2021 년,2231797
전국,계,5 - 9세,2022 년,2142084
전국,계,5 - 9세,2023 년,2027744
전국,계,5 - 9세,2024 년,1914933
전국,계,10 - 14세,1970 년,4531308
전국,계,10 - 14세,1971 년,4619637
전국,계,10 - 14세,1972 년,4725521
전국,계,10 - 14세,1973 년,4740548
전국,계,10 - 14세,1974 년,4678202
전국,계,10 - 14세,1975 년,4595185
전국,계,10 - 14세,1976 년,4514152
전국,계,10 - 14세,1977 년,4438586
전국,계,10 - 14세,1978 년,4382084
전국,계,10 - 14세,1979 년,4395448
전국,계,10 - 14세,1980 년,4458622
전국,계,10 - 14세,1981 년,4532506
전국,계,10 - 14세,1982 년,4605889
전국,계,10 - 14세,1983 년,4624448
전국,계,10 - 14세,1984 년,4588086
전국,계,10 - 14세,1985 년,4491342
전국,계,10 - 14세,1986 년,4347844
전국,계,10 - 14세,1987 년,4193288
전국,계,10 - 14세,1988 년,4047425
전국,계,10 - 14세,1989 년,3961486
전국,계,10 - 14세,1990 년,3926908
전국,계,10 - 14세,1991 년,3975202
전국,계,10 - 14세,1992 년,4034347
전국,계,10 - 14세,1993 년,4050294
전국,계,10 - 14세,1994 년,3978499
전국,계,10 - 14세,1995 년,3824371
전국,계,10 - 14세,1996 년,3655722
전국,계,10 - 14세,1997 년,3439030
전국,계,10 - 14세,1998 년,3271379
전국,계,10 - 14세,1999 년,3164569
전국,계,10 - 14세,2000 년,3129982
전국,계,10 - 14세,2001 년,3156586
전국,계,10 - 14세,2002 년,3231727
전국,계,10 - 14세,2003 년,3325398
전국,계,10 - 14세,2004 년,3409535
전국,계,10 - 14세,2005 년,3465407
전국,계,10 - 14세,2006 년,3483708
전국,계,10 - 14세,2007 년,3439518
전국,계,10 - 14세,2008 년,3368274
전국,계,10 - 14세,2009 년,3284134
전국,계,10 - 14세,2010 년,3209709
전국,계,10 - 14세,2011 년,3119491
전국,계,10 - 14세,2012 년,2969359
전국,계,10 - 14세,2013 년,2803088
전국,계,10 - 14세,2014 년,2666175
전국,계,10 - 14세,2015 년,2488686
전국,계,10 - 14세,2016 년,2327307
전국,계,10 - 14세,2017 년,2264077
전국,계,10 - 14세,2018 년,2267391
전국,계,10 - 14세,2019 년,2241561
전국,계,10 - 14세,2020 년,2250969
전국,계,10 - 14세,2021 년,2297714
전국,계,10 - 14세,2022 년,2311839
전국,계,10 - 14세,2023 년,2289761
전국,계,10 - 14세,2024 년,2273651
전국,계,15 - 19세,1970 년,3269356
전국,계,15 - 19세,1971 년,3499916
전국,계,15 - 19세,1972 년,3723447
전국,계,15 - 19세,1973 년,3960106
전국,계,15 - 19세,1974 년,4174551
전국,계,15 - 19세,1975 년,4334269
전국,계,15 - 19세,1976 년,4455008
전국,계,15 - 19세,1977 년,4546786
전국,계,15 - 19세,1978 년,4604018
전국,계,15 - 19세,1979 년,4587525
전국,계,15 - 19세,1980 년,4519689
전국,계,15 - 19세,1981 년,4411934
전국,계,15 - 19세,1982 년,4331102
전국,계,15 - 19세,1983 년,4304820
전국,계,15 - 19세,1984 년,4339154
전국,계,15 - 19세,1985 년,4407777
전국,계,15 - 19세,1986 년,4481930
전국,계,15 - 19세,1987 년,4549972
전국,계,15 - 19세,1988 년,4581350
전국,계,15 - 19세,1989 년,4550521
전국,계,15 - 19세,1990 년,4442014
전국,계,15 - 19세,1991 년,4297041
전국,계,15 - 19세,1992 년,4138758
전국,계,15 - 19세,1993 년,3996579
전국,계,15 - 19세,1994 년,3909674
전국,계,15 - 19세,1995 년,3896948
전국,계,15 - 19세,1996 년,3953516
전국,계,15 - 19세,1997 년,4031766
전국,계,15 - 19세,1998 년,4060624
전국,계,15 - 19세,1999 년,3999155
전국,계,15 - 19세,2000 년,3842432
전국,계,15 - 19세,2001 년,3615529
전국,계,15 - 19세,2002 년,3391243
전국,계,15 - 19세,2003 년,3216920
전국,계,15 - 19세,2004 년,3108835
전국,계,15 - 19세,2005 년,3080061
전국,계,15 - 19세,2006 년,3103285
전국,계,15 - 19세,2007 년,3184001
전국,계,15 - 19세,2008 년,3282024
전국,계,15 - 19세,2009 년,3368818
전국,계,15 - 19세,2010 년,3428793
전국,계,15 - 19세,2011 년,3468536
전국,계,15 - 19세,2012 년,3435576
전국,계,15 - 19세,2013 년,3373050
전국,계,15 - 19세,2014 년,3289729
전국,계,15 - 19세,2015 년,3222268
전국,계,15 - 19세,2016 년,3132204
전국,계,15 - 19세,2017 년,2982455
전국,계,15 - 19세,2018 년,2820005
전국,계,15 - 19세,2019 년,2685976
전국,계,15 - 19세,2020 년,2518218
전국,계,15 - 19세,2021 년,2345886
전국,계,15 - 19세,2022 년,2287873
전국,계,15 - 19세,2023 년,2301077
전국,계,15 - 19세,2024 년,2272843
전국,계,20 - 24세,1970 년,2569044
전국,계,20 - 24세,1971 년,2640975
전국,계,20 - 24세,1972 년,2729488
전국,계,20 - 24세,1973 년,2780387
전국,계,20 - 24세,1974 년,2874517
전국,계,20 - 24세,1975 년,3074414
전국,계,20 - 24세,1976 년,3336525
전국,계,20 - 24세,1977 년,3544548
전국,계,20 - 24세,1978 년,3743774
전국,계,20 - 24세,1979 년,3936519
전국,계,20 - 24세,1980 년,4093407
전국,계,20 - 24세,1981 년,4264325
전국,계,20 - 24세,1982 년,4370369
전국,계,20 - 24세,1983 년,4393485
전국,계,20 - 24세,1984 년,4347506
전국,계,20 - 24세,1985 년,4274337
전국,계,20 - 24세,1986 년,4245645
전국,계,20 - 24세,1987 년,4207912
전국,계,20 - 24세,1988 년,4177568
전국,계,20 - 24세,1989 년,4208326
전국,계,20 - 24세,1990 년,4342407
전국,계,20 - 24세,1991 년,4429021
전국,계,20 - 24세,1992 년,4504498
전국,계,20 - 24세,1993 년,4531297
전국,계,20 - 24세,1994 년,4491139
전국,계,20 - 24세,1995 년,4391626
전국,계,20 - 24세,1996 년,4247453
전국,계,20 - 24세,1997 년,4077566
전국,계,20 - 24세,1998 년,3938084
전국,계,20 - 24세,1999 년,3853441
전국,계,20 - 24세,2000 년,3854382
전국,계,20 - 24세,2001 년,3933235
전국,계,20 - 24세,2002 년,4011329
전국,계,20 - 24세,2003 년,4045569
전국,계,20 - 24세,2004 년,3970573
전국,계,20 - 24세,2005 년,3788780
전국,계,20 - 24세,2006 년,3587201
전국,계,20 - 24세,2007 년,3380558
전국,계,20 - 24세,2008 년,3226850
전국,계,20 - 24세,2009 년,3153001
전국,계,20 - 24세,2010 년,3139049
전국,계,20 - 24세,2011 년,3175673
전국,계,20 - 24세,2012 년,3268949
전국,계,20 - 24세,2013 년,3370906
전국,계,20 - 24세,2014 년,3457405
전국,계,20 - 24세,2015 년,3511968
전국,계,20 - 24세,2016 년,3559849
전국,계,20 - 24세,2017 년,3529657
전국,계,20 - 24세,2018 년,3498197
전국,계,20 - 24세,2019 년,3439052
전국,계,20 - 24세,2020 년,3392351
전국,계,20 - 24세,2021 년,3278327
전국,계,20 - 24세,2022 년,3105237
전국,계,20 - 24세,2023 년,2953664
전국,계,20 - 24세,2024 년,2838789
전국,계,25 - 29세,1970 년,2335969
전국,계,25 - 29세,1971 년,2297759
전국,계,25 - 29세,1972 년,2309954
전국,계,25 - 29세,1973 년,2378425
전국,계,25 - 29세,1974 년,2458215
전국,계,25 - 29세,1975 년,2535266
전국,계,25 - 29세,1976 년,2588407
전국,계,25 - 29세,1977 년,2647963
전국,계,25 - 29세,1978 년,2727306
전국,계,25 - 29세,1979 년,2862241
전국,계,25 - 29세,1980 년,3072797
전국,계,25 - 29세,1981 년,3299851
전국,계,25 - 29세,1982 년,3499449
전국,계,25 - 29세,1983 년,3713565
전국,계,25 - 29세,1984 년,3917373
전국,계,25 - 29세,1985 년,4097891
전국,계,25 - 29세,1986 년,4206166
전국,계,25 - 29세,1987 년,4291592
전국,계,25 - 29세,1988 년,4346783
전국,계,25 - 29세,1989 년,4342301
전국,계,25 - 29세,1990 년,4326749
전국,계,25 - 29세,1991 년,4264005
전국,계,25 - 29세,1992 년,4216818
전국,계,25 - 29세,1993 년,4203646
전국,계,25 - 29세,1994 년,4237069
전국,계,25 - 29세,1995 년,4300710
전국,계,25 - 29세,1996 년,4344493
전국,계,25 - 29세,1997 년,4424219
전국,계,25 - 29세,1998 년,4441047
전국,계,25 - 29세,1999 년,4418353
전국,계,25 - 29세,2000 년,4352913
전국,계,25 - 29세,2001 년,4224596
전국,계,25 - 29세,2002 년,4064589
전국,계,25 - 29세,2003 년,3941430
전국,계,25 - 29세,2004 년,3853273
전국,계,25 - 29세,2005 년,3843827
전국,계,25 - 29세,2006 년,3927136
전국,계,25 - 29세,2007 년,4018371
전국,계,25 - 29세,2008 년,4056267
전국,계,25 - 29세,2009 년,4001090
전국,계,25 - 29세,2010 년,3834105
전국,계,25 - 29세,2011 년,3664802
전국,계,25 - 29세,2012 년,3464864
전국,계,25 - 29세,2013 년,3315255
전국,계,25 - 29세,2014 년,3259130
전국,계,25 - 29세,2015 년,3269454
전국,계,25 - 29세,2016 년,3279811
전국,계,25 - 29세,2017 년,3368161
전국,계,25 - 29세,2018 년,3493062
전국,계,25 - 29세,2019 년,3587776
전국,계,25 - 29세,2020 년,3645542
전국,계,25 - 29세,2021 년,3675202
전국,계,25 - 29세,2022 년,3628784
전국,계,25 - 29세,2023 년,3594717
전국,계,25 - 29세,2024 년,3533643
전국,계,30 - 34세,1970 년,2237747
전국,계,30 - 34세,1971 년,2268991
전국,계,30 - 34세,1972 년,2306035
전국,계,30 - 34세,1973 년,2296469
전국,계,30 - 34세,1974 년,2277514
전국,계,30 - 34세,1975 년,2245682
전국,계,30 - 34세,1976 년,2236634
전국,계,30 - 34세,1977 년,2278218
전국,계,30 - 34세,1978 년,2355958
전국,계,30 - 34세,1979 년,2446500
전국,계,30 - 34세,1980 년,2525214
전국,계,30 - 34세,1981 년,2595896
전국,계,30 - 34세,1982 년,2682293
전국,계,30 - 34세,1983 년,2787668
전국,계,30 - 34세,1984 년,2937236
전국,계,30 - 34세,1985 년,3089272
전국,계,30 - 34세,1986 년,3344633
전국,계,30 - 34세,1987 년,3529362
전국,계,30 - 34세,1988 년,3756309
전국,계,30 - 34세,1989 년,3966001
전국,계,30 - 34세,1990 년,4134702
전국,계,30 - 34세,1991 년,4259036
전국,계,30 - 34세,1992 년,4345014
전국,계,30 - 34세,1993 년,4376728
전국,계,30 - 34세,1994 년,4353044
전국,계,30 - 34세,1995 년,4296721
전국,계,30 - 34세,1996 년,4257500
전국,계,30 - 34세,1997 년,4212189
전국,계,30 - 34세,1998 년,4162297
전국,계,30 - 34세,1999 년,4181625
전국,계,30 - 34세,2000 년,4247992
전국,계,30 - 34세,2001 년,4332087
전국,계,30 - 34세,2002 년,4421320
전국,계,30 - 34세,2003 년,4473012
전국,계,30 - 34세,2004 년,4450632
전국,계,30 - 34세,2005 년,4360436
전국,계,30 - 34세,2006 년,4226271
전국,계,30 - 34세,2007 년,4078911
전국,계,30 - 34세,2008 년,3954807
전국,계,30 - 34세,2009 년,3856438
전국,계,30 - 34세,2010 년,3877784
전국,계,30 - 34세,2011 년,3967427
전국,계,30 - 34세,2012 년,4058688
전국,계,30 - 34세,2013 년,4086255
전국,계,30 - 34세,2014 년,4045454
전국,계,30 - 34세,2015 년,3871602
전국,계,30 - 34세,2016 년,3688255
전국,계,30 - 34세,2017 년,3491542
전국,계,30 - 34세,2018 년,3360617
전국,계,30 - 34세,2019 년,3306462
전국,계,30 - 34세,2020 년,3307803
전국,계,30 - 34세,2021 년,3306451
전국,계,30 - 34세,2022 년,3390434
전국,계,30 - 34세,2023 년,3524540
전국,계,30 - 34세,2024 년,3615767
전국,계,35 - 39세,1970 년,1866982
전국,계,35 - 39세,1971 년,1948564
전국,계,35 - 39세,1972 년,2029069
전국,계,35 - 39세,1973 년,2108309
전국,계,35 - 39세,1974 년,2166022
전국,계,35 - 39세,1975 년,2209126
전국,계,35 - 39세,1976 년,2251043
전국,계,35 - 39세,1977 년,2293446
전국,계,35 - 39세,1978 년,2310640
전국,계,35 - 39세,1979 년,2300125
전국,계,35 - 39세,1980 년,2279565
전국,계,35 - 39세,1981 년,2269264
전국,계,35 - 39세,1982 년,2298095
전국,계,35 - 39세,1983 년,2369242
전국,계,35 - 39세,1984 년,2462888
전국,계,35 - 39세,1985 년,2552192
전국,계,35 - 39세,1986 년,2564329
전국,계,35 - 39세,1987 년,2647684
전국,계,35 - 39세,1988 년,2703254
전국,계,35 - 39세,1989 년,2805972
전국,계,35 - 39세,1990 년,3042329
전국,계,35 - 39세,1991 년,3273671
전국,계,35 - 39세,1992 년,3489073
전국,계,35 - 39세,1993 년,3712065
전국,계,35 - 39세,1994 년,3924912
전국,계,35 - 39세,1995 년,4092051
전국,계,35 - 39세,1996 년,4204082
전국,계,35 - 39세,1997 년,4312799
전국,계,35 - 39세,1998 년,4357948
전국,계,35 - 39세,1999 년,4324945
전국,계,35 - 39세,2000 년,4273079
전국,계,35 - 39세,2001 년,4228965
전국,계,35 - 39세,2002 년,4187506
전국,계,35 - 39세,2003 년,4154850
전국,계,35 - 39세,2004 년,4216022
전국,계,35 - 39세,2005 년,4267337
전국,계,35 - 39세,2006 년,4361921
전국,계,35 - 39세,2007 년,4449040
전국,계,35 - 39세,2008 년,4509979
전국,계,35 - 39세,2009 년,4466962
전국,계,35 - 39세,2010 년,4387036
전국,계,35 - 39세,2011 년,4241327
전국,계,35 - 39세,2012 년,4087693
전국,계,35 - 39세,2013 년,3949716
전국,계,35 - 39세,2014 년,3854386
전국,계,35 - 39세,2015 년,3892100
전국,계,35 - 39세,2016 년,3964685
전국,계,35 - 39세,2017 년,4054300
전국,계,35 - 39세,2018 년,4095610
전국,계,35 - 39세,2019 년,4051769
전국,계,35 - 39세,2020 년,3866979
전국,계,35 - 39세,2021 년,3683026
전국,계,35 - 39세,2022 년,3482511
전국,계,35 - 39세,2023 년,3349843
전국,계,35 - 39세,2024 년,3297256
전국,계,40 - 44세,1970 년,1467129
전국,계,40 - 44세,1971 년,1518568
전국,계,40 - 44세,1972 년,1575198
전국,계,40 - 44세,1973 년,1642717
전국,계,40 - 44세,1974 년,1720007
전국,계,40 - 44세,1975 년,1820221
전국,계,40 - 44세,1976 년,1913806
전국,계,40 - 44세,1977 년,1995036
전국,계,40 - 44세,1978 년,2069345
전국,계,40 - 44세,1979 년,2132768
전국,계,40 - 44세,1980 년,2178570
전국,계,40 - 44세,1981 년,2226462
전국,계,40 - 44세,1982 년,2274207
전국,계,40 - 44세,1983 년,2289040
전국,계,40 - 44세,1984 년,2276724
전국,계,40 - 44세,1985 년,2262901
전국,계,40 - 44세,1986 년,2259794
전국,계,40 - 44세,1987 년,2282293
전국,계,40 - 44세,1988 년,2337657
전국,계,40 - 44세,1989 년,2419171
전국,계,40 - 44세,1990 년,2477748
전국,계,40 - 44세,1991 년,2545795
전국,계,40 - 44세,1992 년,2608361
전국,계,40 - 44세,1993 년,2676856
전국,계,40 - 44세,1994 년,2796727
전국,계,40 - 44세,1995 년,2995391
전국,계,40 - 44세,1996 년,3217477
전국,계,40 - 44세,1997 년,3405223
전국,계,40 - 44세,1998 년,3625438
전국,계,40 - 44세,1999 년,3860167
전국,계,40 - 44세,2000 년,4020438
전국,계,40 - 44세,2001 년,4155285
전국,계,40 - 44세,2002 년,4271265
전국,계,40 - 44세,2003 년,4342326
전국,계,40 - 44세,2004 년,4312441
전국,계,40 - 44세,2005 년,4248300
전국,계,40 - 44세,2006 년,4184030
전국,계,40 - 44세,2007 년,4156757
전국,계,40 - 44세,2008 년,4135275
전국,계,40 - 44세,2009 년,4244225
전국,계,40 - 44세,2010 년,4306370
전국,계,40 - 44세,2011 년,4409021
전국,계,40 - 44세,2012 년,4483989
전국,계,40 - 44세,2013 년,4527975
전국,계,40 - 44세,2014 년,4479628
전국,계,40 - 44세,2015 년,4398381
전국,계,40 - 44세,2016 년,4230029
전국,계,40 - 44세,2017 년,4078404
전국,계,40 - 44세,2018 년,3951400
전국,계,40 - 44세,2019 년,3847859
전국,계,40 - 44세,2020 년,3872171
전국,계,40 - 44세,2021 년,3944406
전국,계,40 - 44세,2022 년,4035019
전국,계,40 - 44세,2023 년,4066215
전국,계,40 - 44세,2024 년,4023556
전국,계,45 - 49세,1970 년,1271554
전국,계,45 - 49세,1971 년,1288932
전국,계,45 - 49세,1972 년,1295548
전국,계,45 - 49세,1973 년,1314772
전국,계,45 - 49세,1974 년,1352755
전국,계,45 - 49세,1975 년,1398399
전국,계,45 - 49세,1976 년,1448885
전국,계,45 - 49세,1977 년,1512900
전국,계,45 - 49세,1978 년,1583123
전국,계,45 - 49세,1979 년,1659875
전국,계,45 - 49세,1980 년,1756088
전국,계,45 - 49세,1981 년,1851271
전국,계,45 - 49세,1982 년,1928379
전국,계,45 - 49세,1983 년,2001786
전국,계,45 - 49세,1984 년,2066471
전국,계,45 - 49세,1985 년,2119340
전국,계,45 - 49세,1986 년,2166942
전국,계,45 - 49세,1987 년,2211518
전국,계,45 - 49세,1988 년,2230327
전국,계,45 - 49세,1989 년,2219245
전국,계,45 - 49세,1990 년,2166709
전국,계,45 - 49세,1991 년,2155466
전국,계,45 - 49세,1992 년,2180285
전국,계,45 - 49세,1993 년,2246633
전국,계,45 - 49세,1994 년,2335451
전국,계,45 - 49세,1995 년,2418904
전국,계,45 - 49세,1996 년,2478292
전국,계,45 - 49세,1997 년,2553587
전국,계,45 - 49세,1998 년,2613214
전국,계,45 - 49세,1999 년,2716095
전국,계,45 - 49세,2000 년,2921443
전국,계,45 - 49세,2001 년,3160621
전국,계,45 - 49세,2002 년,3346133
전국,계,45 - 49세,2003 년,3569142
전국,계,45 - 49세,2004 년,3802111
전국,계,45 - 49세,2005 년,3958097
전국,계,45 - 49세,2006 년,4139484
전국,계,45 - 49세,2007 년,4248784
전국,계,45 - 49세,2008 년,4354664
전국,계,45 - 49세,2009 년,4321262
전국,계,45 - 49세,2010 년,4271709
전국,계,45 - 49세,2011 년,4191090
전국,계,45 - 49세,2012 년,4173386
전국,계,45 - 49세,2013 년,4125313
전국,계,45 - 49세,2014 년,4295086
전국,계,45 - 49세,2015 년,4354036
전국,계,45 - 49세,2016 년,4441770
전국,계,45 - 49세,2017 년,4506942
전국,계,45 - 49세,2018 년,4553179
전국,계,45 - 49세,2019 년,4487622
전국,계,45 - 49세,2020 년,4385732
전국,계,45 - 49세,2021 년,4213912
전국,계,45 - 49세,2022 년,4061992
전국,계,45 - 49세,2023 년,3926944
전국,계,45 - 49세,2024 년,3828741
전국,계,50 - 54세,1970 년,1017150
전국,계,50 - 54세,1971 년,1041058
전국,계,50 - 54세,1972 년,1071643
전국,계,50 - 54세,1973 년,1122447
전국,계,50 - 54세,1974 년,1169097
전국,계,50 - 54세,1975 년,1202947
전국,계,50 - 54세,1976 년,1224803
전국,계,50 - 54세,1977 년,1243071
전국,계,50 - 54세,1978 년,1261600
전국,계,50 - 54세,1979 년,1289291
전국,계,50 - 54세,1980 년,1324926
전국,계,50 - 54세,1981 년,1376616
전국,계,50 - 54세,1982 년,1444187
전국,계,50 - 54세,1983 년,1517874
전국,계,50 - 54세,1984 년,1600217
전국,계,50 - 54세,1985 년,1686760
전국,계,50 - 54세,1986 년,1772028
전국,계,50 - 54세,1987 년,1852866
전국,계,50 - 54세,1988 년,1927566
전국,계,50 - 54세,1989 년,1994986
전국,계,50 - 54세,1990 년,2021714
전국,계,50 - 54세,1991 년,2066185
전국,계,50 - 54세,1992 년,2111226
전국,계,50 - 54세,1993 년,2126067
전국,계,50 - 54세,1994 년,2111389
전국,계,50 - 54세,1995 년,2090711
전국,계,50 - 54세,1996 년,2074866
전국,계,50 - 54세,1997 년,2103395
전국,계,50 - 54세,1998 년,2173953
전국,계,50 - 54세,1999 년,2270251
전국,계,50 - 54세,2000 년,2365862
전국,계,50 - 54세,2001 년,2427537
전국,계,50 - 54세,2002 년,2505591
전국,계,50 - 54세,2003 년,2568222
전국,계,50 - 54세,2004 년,2664066
전국,계,50 - 54세,2005 년,2861891
전국,계,50 - 54세,2006 년,3106401
전국,계,50 - 54세,2007 년,3287112
전국,계,50 - 54세,2008 년,3524016
전국,계,50 - 54세,2009 년,3761143
전국,계,50 - 54세,2010 년,3934363
전국,계,50 - 54세,2011 년,4163908
전국,계,50 - 54세,2012 년,4263019
전국,계,50 - 54세,2013 년,4364665
전국,계,50 - 54세,2014 년,4334785
전국,계,50 - 54세,2015 년,4289039
전국,계,50 - 54세,2016 년,4170297
전국,계,50 - 54세,2017 년,4163840
전국,계,50 - 54세,2018 년,4122273
전국,계,50 - 54세,2019 년,4297890
전국,계,50 - 54세,2020 년,4338269
전국,계,50 - 54세,2021 년,4425748
전국,계,50 - 54세,2022 년,4489552
전국,계,50 - 54세,2023 년,4525612
전국,계,50 - 54세,2024 년,4459873
전국,계,55 - 59세,1970 년,846448
전국,계,55 - 59세,1971 년,874484
전국,계,55 - 59세,1972 년,872562
전국,계,55 - 59세,1973 년,874616
전국,계,55 - 59세,1974 년,890487
전국,계,55 - 59세,1975 년,919381
전국,계,55 - 59세,1976 년,951865
전국,계,55 - 59세,1977 년,993395
전국,계,55 - 59세,1978 년,1047164
전국,계,55 - 59세,1979 년,1097369
전국,계,55 - 59세,1980 년,1130835
전국,계,55 - 59세,1981 년,1144240
전국,계,55 - 59세,1982 년,1159080
전국,계,55 - 59세,1983 년,1181647
전국,계,55 - 59세,1984 년,1215411
전국,계,55 - 59세,1985 년,1258578
전국,계,55 - 59세,1986 년,1306470
전국,계,55 - 59세,1987 년,1369732
